T: 1009;  Temp: 37.00; Luminosidade: 45.00
T: 1010;  Temp: 37.00; Luminosidade: 45.00
T: 1011;  Temp: 37.00; Luminosidade: 45.00
T: 1012;  Temp: 37.00; Luminosidade: 45.00
T: 1013;  Temp: 37.00; Luminosidade: 45.00
T: 1014;  Temp: 37.00; Luminosidade: 45.00
T: 1015;  Temp: 37.00; Luminosidade: 45.00
T: 1016;  Temp: 37.00; Luminosidade: 45.00
T: 1017;  Temp: 38.00; Luminosidade: 45.00
T: 1018;  Temp: 37.00; Luminosidade: 45.00
T: 1019;  Temp: 37.00; Luminosidade: 45.00
T: 1020;  Temp: 37.00; Luminosidade: 45.00
T: 1021;  Temp: 38.00; Luminosidade: 45.00
T: 1022;  Temp: 37.00; Luminosidade: 45.00
T: 1023;  Temp: 38.00; Luminosidade: 45.00
T: 1024;  Temp: 37.00; Luminosidade: 45.00
T: 1025;  Temp: 38.00; Luminosidade: 45.00
T: 1026;  Temp: 37.00; Luminosidade: 45.00
T: 1027;  Temp: 38.00; Luminosidade: 45.00
T: 1028;  Temp: 38.00; Luminosidade: 45.00
T: 1029;  Temp: 38.00; Luminosidade: 45.00
T: 1030;  Temp: 38.00; Luminosidade: 45.00
T: 1031;  Temp: 38.00; Luminosidade: 45.00
T: 1032;  Temp: 38.00; Luminosidade: 45.00
T: 1033;  Temp: 38.00; Luminosidade: 45.00
T: 1034;  Temp: 38.00; Luminosidade: 45.00
T: 1035;  Temp: 38.00; Luminosidade: 45.00
T: 1036;  Temp: 38.00; Luminosidade: 45.00
T: 1037;  Temp: 38.00; Luminosidade: 45.00
T: 1038;  Temp: 38.00; Luminosidade: 45.00
T: 1039;  Temp: 38.00; Luminosidade: 45.00
T: 1040;  Temp: 38.00; Luminosidade: 45.00
T: 1041;  Temp: 38.00; Luminosidade: 45.00
T: 1042;  Temp: 38.00; Luminosidade: 45.00
T: 1043;  Temp: 38.00; Luminosidade: 45.00
T: 1044;  Temp: 38.00; Luminosidade: 45.00
T: 1045;  Temp: 38.00; Luminosidade: 45.00
T: 1046;  Temp: 38.00; Luminosidade: 45.00
T: 1047;  Temp: 38.00; Luminosidade: 45.00
T: 1048;  Temp: 39.00; Luminosidade: 45.00
T: 1049;  Temp: 38.00; Luminosidade: 45.00
T: 1050;  Temp: 38.00; Luminosidade: 45.00
T: 1051;  Temp: 38.00; Luminosidade: 45.00
T: 1052;  Temp: 38.00; Luminosidade: 45.00
T: 1053;  Temp: 38.00; Luminosidade: 45.00
T: 1054;  Temp: 38.00; Luminosidade: 45.00
T: 1055;  Temp: 38.00; Luminosidade: 45.00
T: 1056;  Temp: 38.00; Luminosidade: 45.00
T: 1057;  Temp: 38.00; Luminosidade: 45.00
T: 1058;  Temp: 38.00; Luminosidade: 45.00
T: 1059;  Temp: 38.00; Luminosidade: 45.00
T: 1060;  Temp: 38.00; Luminosidade: 45.00
T: 1061;  Temp: 38.00; Luminosidade: 45.00
T: 1062;  Temp: 38.00; Luminosidade: 45.00
T: 1063;  Temp: 38.00; Luminosidade: 45.00
T: 1064;  Temp: 38.00; Luminosidade: 45.00
T: 1065;  Temp: 38.00; Luminosidade: 45.00
T: 1066;  Temp: 39.00; Luminosidade: 45.00
T: 1067;  Temp: 38.00; Luminosidade: 45.00
T: 1068;  Temp: 38.00; Luminosidade: 45.00
T: 1069;  Temp: 38.00; Luminosidade: 45.00
T: 1070;  Temp: 38.00; Luminosidade: 45.00
T: 1071;  Temp: 39.00; Luminosidade: 45.00
T: 1072;  Temp: 39.00; Luminosidade: 45.00
T: 1073;  Temp: 39.00; Luminosidade: 45.00
T: 1074;  Temp: 38.00; Luminosidade: 45.00
T: 1075;  Temp: 38.00; Luminosidade: 45.00
T: 1076;  Temp: 39.00; Luminosidade: 45.00
T: 1077;  Temp: 39.00; Luminosidade: 45.00
T: 1078;  Temp: 38.00; Luminosidade: 45.00
T: 1079;  Temp: 38.00; Luminosidade: 45.00
T: 1080;  Temp: 38.00; Luminosidade: 45.00
T: 1081;  Temp: 39.00; Luminosidade: 45.00
T: 1082;  Temp: 38.00; Luminosidade: 45.00
T: 1083;  Temp: 38.00; Luminosidade: 45.00
T: 1084;  Temp: 38.00; Luminosidade: 45.00
T: 1085;  Temp: 38.00; Luminosidade: 45.00
T: 1086;  Temp: 38.00; Luminosidade: 45.00
T: 1087;  Temp: 38.00; Luminosidade: 45.00
T: 1088;  Temp: 39.00; Luminosidade: 45.00
T: 1089;  Temp: 39.00; Luminosidade: 45.00
T: 1090;  Temp: 38.00; Luminosidade: 45.00
T: 1091;  Temp: 39.00; Luminosidade: 45.00
T: 1092;  Temp: 39.00; Luminosidade: 45.00
T: 1093;  Temp: 39.00; Luminosidade: 45.00
T: 1094;  Temp: 39.00; Luminosidade: 45.00
T: 1095;  Temp: 39.00; Luminosidade: 45.00
T: 1096;  Temp: 39.00; Luminosidade: 45.00
T: 1097;  Temp: 39.00; Luminosidade: 45.00
T: 1098;  Temp: 39.00; Luminosidade: 45.00
T: 1099;  Temp: 39.00; Luminosidade: 45.00
T: 1100;  Temp: 39.00; Luminosidade: 45.00
T: 1101;  Temp: 39.00; Luminosidade: 45.00
